id_vulnerabilidad,tipo,severidad,descripcion,fecha_detectada,fecha_resolucion,estado,id_sistema
1,"Misconfigured Service",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #1. Requiere priorizaci├│n.",2024-12-31,NULL,Activa,4
2,"Open Port",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #2. Requiere priorizaci├│n.",2025-01-22,NULL,Activa,17
3,"SQL Injection",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #3. Requiere priorizaci├│n.",2025-06-03,2025-07-15,Resuelta,38
4,"Cross-Site Scripting",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #4. Requiere priorizaci├│n.",2025-02-12,NULL,Activa,21
5,"Misconfigured Service",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #5. Requiere priorizaci├│n.",2025-09-15,2025-11-09,Resuelta,16
6,"Weak Cipher",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #6. Requiere priorizaci├│n.",2025-05-09,NULL,Activa,22
7,"Privilege Escalation",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #7. Requiere priorizaci├│n.",2025-10-13,NULL,Activa,40
8,"Buffer Overflow",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #8. Requiere priorizaci├│n.",2025-04-01,2025-09-28,Resuelta,38
9,"Weak Cipher",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #9. Requiere priorizaci├│n.",2025-04-28,2025-07-30,Resuelta,3
10,"Privilege Escalation",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #10. Requiere priorizaci├│n.",2024-12-14,2025-07-03,Resuelta,11
11,"Weak Cipher",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #11. Requiere priorizaci├│n.",2025-10-09,2025-10-22,Resuelta,12
12,"Misconfigured Service",Alta,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #12. Requiere priorizaci├│n.",2025-05-21,2025-09-21,Resuelta,4
13,"Cross-Site Scripting",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #13. Requiere priorizaci├│n.",2025-01-07,2025-09-11,Resuelta,40
14,"SQL Injection",Baja,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #14. Requiere priorizaci├│n.",2025-01-31,NULL,Activa,15
15,"Weak Cipher",Media,"Vulnerabilidad identificada por esc├íner autom├ítico. Ref #15. Requiere priorizaci├│n.",2025-10-04,2025-06-24,Resuelta,23
